std_smiles,heavy_atom_count,pains_alert_count,pains_alert_names,smiles,name,source_id
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C(F)(F)F)on4)c3)c2cc1OC,37.0,0.0,,COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C(F)(F)F)on4)c3)c2cc1OC,RXDX-105,S8015
CC(O)C(O)c1cnc2[nH]c(N)nc(=O)c2n1,17.0,0.0,,C[C@H](O)C(=O)C1=Nc2c(nc(N)[nH]c2=O)NC1,Sepiapterin,S154
CNC(=O)c1cc(COc2nnc(Nc3ccc(Cl)cc3)c3ccoc23)ccn1,29.0,0.0,,CNC(=O)c1cc(COc2nnc(Nc3ccc(Cl)cc3)c3ccoc23)ccn1,telatinib,AZM14898
O=C(O)c1ccccc1OP(=O)(O)O,14.0,0.0,,O=C(O)c1ccccc1OP(=O)(O)O,fosfosal,F9995-1274
CC(C)c1nc(CN(C)C(=O)NC(C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,50.0,0.0,,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,RITONAVIR,155213-67-5
O=C(O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2Cl)CC(c2ccccc2)c2ccccc2)c1,41.0,0.0,,O=C(O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2Cl)CC(c2ccccc2)c2ccccc2)c1,GW 3965 (hydrochloride),S2630
CCCCCCc1ccc(O)cc1O,14.0,0.0,,CCCCCCc1ccc(O)cc1O,HEXYLRESORCINOL,AX8018168
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,22.0,0.0,,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,ROFECOXIB; ROFECOXIB162011-90-7,3543940633
COc1ccc(-c2nc(N3CCOCC3)c3sc(CN(C)c4ncc(C(O)=NO)cn4)cc3n2)cn1,36.0,0.0,,COc1ccc(-c2nc(N3CCOCC3)c3sc(CN(C)c4ncc(C(=O)NO)cn4)cc3n2)cn1,CUDC-907,G0004-011652
COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,21.0,0.0,,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,Galanthamine,1543B
CN(C)C1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(N5CCOCC5)nc(N5CCOCC5)n4)cc3)cc2)CC1,45.0,0.0,,CN(C)C1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(N5CCOCC5)nc(N5CCOCC5)n4)cc3)cc2)CC1,gedatolisib,FE-0013
C=C[C@@](C)(C=Cc1ccc(O)cc1)CCC=C(C)C,19.0,0.0,,C=C[C@@](C)(/C=C/c1ccc(O)cc1)CCC=C(C)C,Drupanol,HY-N0235
CNC(=O)Oc1cccc2ccccc12,15.0,0.0,,CNC(=O)Oc1cccc2ccccc12,CARBARIL,EN300-06105
O=c1c2ccccc2[se]n1-c1ccccc1,16.0,0.0,,O=c1c2ccccc2[se]n1-c1ccccc1,ebselen,V1941
COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,27.0,0.0,,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,Curcumin,HY-N0005
CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1,20.0,0.0,,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1,Methylene Blue trihydrate,A0574
c1ccc2[nH]c(-c3cscn3)nc2c1,14.0,0.0,,c1ccc2[nH]c(-c3cscn3)nc2c1,THIABENDAZOLE148-79-8,EN300-20737
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,16.0,0.0,,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,ETHOXZOLAMIDE,333328
O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,16.0,0.0,,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,BIOTIN,T1116
Cc1ccc(C(=O)N(CCCN)[C@@H](c2nc3cc(Cl)ccc3c(=O)n2Cc2ccccc2)C(C)C)cc1,37.0,0.0,,Cc1ccc(C(=O)N(CCCN)[C@@H](c2nc3cc(Cl)ccc3c(=O)n2Cc2ccccc2)C(C)C)cc1,Ispinesib (SB-715992),ABP245-038
C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1,25.0,0.0,,C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1,CGP-75166,SML1095
COc1ccc(-c2nc3cc(C4=NNC(=O)CC4C)ccc3[nH]2)cc1,25.0,0.0,,COc1ccc(-c2nc3cc(C4=NNC(=O)CC4C)ccc3[nH]2)cc1,pimobendan,KS-1280
O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O,20.0,0.0,,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O,Phloretin,12515850
CCCC=c1ncc(=CC(Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1,30.0,0.0,,CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1,4-({2-butyl-5-[(1E)-2-carboxy-3-(2-thienyl)-1-propenyl]-1H-imidazol-1-yl}methyl)benzoic acid; eprosartan mesylate,3515237034
O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,29.0,0.0,,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,URIDINE-5'-TRIPHOSPHATE NA,HY-107372
C=C(C)[C@H]1CNC(C(=O)O)[C@H]1CC(=O)O,15.0,0.0,,C=C(C)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O,KAINIC ACID,K0250
Nc1nc2ccc(OC(F)(F)F)cc2s1,15.0,0.0,,Nc1nc2ccc(OC(F)(F)F)cc2s1,Riluzole,110981782
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,30.0,0.0,,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,ARIPIPRAZOLE,AB1006698
N#C/C(=C1/SC[C@@H](c2ccc(Cl)cc2Cl)S1)n1ccnc1,21.0,0.0,,N#C/C(=C1/SC[C@@H](c2ccc(Cl)cc2Cl)S1)n1ccnc1,Luliconazole,SML 1595-5MG
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,27.0,0.0,,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,Bendrofluazide,MFCD00078963
NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,20.0,0.0,,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,GLUTATHIONE,T1085
Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,25.0,0.0,,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1,Lansoprazole,L8533
C[C@]12C=CC(=O)N[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(C(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CC[C@@H]12,37.0,0.0,,C[C@]12C=CC(=O)N[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CC[C@@H]12,dutasteride,MFCD09843955
CC(C)(CO)C(O)C(=O)NCCC(=O)NCCSSCCNC(=O)CCNC(=O)C(O)C(C)(C)CO,36.0,0.0,,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)NCCSSCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO,Pantethine,SS-2988
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,21.0,0.0,,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,RETINOL,T1183
N#Cc1ccc(N2CCN(C(=O)COc3ccc4[nH]cc(CCN)c4c3)CC2)cc1,30.0,0.0,,N#Cc1ccc(N2CCN(C(=O)COc3ccc4[nH]cc(CCN)c4c3)CC2)cc1,Donitriptan monohydrochloride,3544243335
CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,41.0,0.0,,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,Atorvastatin calcium,MFCD00899261
O=c1[nH]c(O)cn1/N=C/c1ccc(-c2ccc([N+](=O)[O-])cc2)o1,23.0,0.0,,O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,Dantrolene??Sodium,Z91274084
O=C(Cn1ccnc1[N+](=O)[O-])NCCO,15.0,0.0,,O=C(Cn1ccnc1[N+](=O)[O-])NCCO,ETANIDAZOLE,206031
C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O,19.0,0.0,,C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O,Tenofovir (TFV),AK-33334
CN1C(=O)CC[C@H]1c1cccnc1,13.0,0.0,,CN1C(=O)CC[C@H]1c1cccnc1,(-)-Cotinine,C5923
CCN(CC)CCNC(=O)c1ccc(NS(C)(=O)=O)cc1,21.0,0.0,,CCN(CC)CCNC(=O)c1ccc(NS(C)(=O)=O)cc1,Sematilide monohydrochloride monohydrate,3558527622
OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1,23.0,0.0,,OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1,Difenidol hydrochloride,MFCD00151479
CC(C)(OCc1nn(Cc2ccccc2)c2ccccc12)C(=O)O,24.0,0.0,,CC(C)(OCc1nn(Cc2ccccc2)c2ccccc12)C(=O)O,Bindarit,S3032
CNCC/C=C/c1cccnc1,12.0,0.0,,CNCC/C=C/c1cccnc1,RJR 2403 ; Rivanicline; METANICOTINE,PH006788
CCc1cc(C(N)=S)ccn1,11.0,0.0,,CCc1cc(C(N)=S)ccn1,Ethionamide,M381
O=C(O)c1ccccc1C(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,27.0,0.0,,O=C(O)c1ccccc1C(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,PHTHALYLSULFATHIAZOLE,T0703
Cn1c(=O)c2c(ncn2CCO)n(C)c1=O,16.0,0.0,,Cn1c(=O)c2c(ncn2CCO)n(C)c1=O,Etofylline,EN300-21180
COc1ccc2c(c1)CCC(c1ccccc1)=C2c1ccc(OCCN2CCCC2)cc1,32.0,0.0,,COc1ccc2c(c1)CCC(c1ccccc1)=C2c1ccc(OCCN2CCCC2)cc1,nafoxidine,MFCD00056572
